repetition,host,arch,system,name,nthreads,nb_ops,latency
4,eliza,mte,linklist,YCSB-B,1,25000,2433276.4424236
3,eliza,mte,queue,queue_bench,64,10000000,3178.150
3,eliza,mte,btree,read,1,10000000,978.43
3,eliza,aarch64,btree,read,1,10000000,936.92
1,eliza,aarch64,CLHT,read,64,50000000,274.31
2,eliza,aarch64,CLHT,insert,1,3000000,2915.81
2,eliza,aarch64,skiplist,insert,1,1000000,4662.96
3,eliza,aarch64,ART,YCSB-E,1,300000,33714.67746426667
4,eliza,aarch64,linklist,YCSB-C,1,25000,1668510.79
0,eliza,mte,CLHT,insert,16,50000000,4709.19
4,eliza,aarch64,skiplist,YCSB-E,1,1000000,5541.953655039999
2,eliza,mte,btree,read,1,10000000,1022.63
0,eliza,mte,linklist,YCSB-C,1,25000,2765869.71
0,eliza,mte,linklist,YCSB-A,1,25000,2540942.3744964004
2,eliza,aarch64,btree,update,1,10000000,1126.89
2,eliza,aarch64,CLHT,insert,192,50000000,75127.59
3,eliza,mte,btree,scan,1,10000000,986.44
3,eliza,aarch64,btree,insert,1,10000000,1067.62
3,eliza,mte,CLHT,read,1,5000000,307.57
2,eliza,mte,linklist,read,1,25000,2701017.65
0,eliza,aarch64,CLHT,insert,1,3000000,2914.66
1,eliza,mte,CLHT,read,64,50000000,317.09
0,eliza,mte,CLHT,insert,1,3000000,4084.25
2,eliza,aarch64,btree,YCSB-F,1,10000000,662.1302318689274
0,eliza,mte,CLHT,read,1,5000000,307.4
3,eliza,aarch64,linklist,YCSB-D,1,10000,1155420.069564
3,eliza,aarch64,btree,YCSB-E,1,10000000,792.27910248
0,eliza,aarch64,btree,YCSB-A,1,10000000,853.202821375
1,eliza,mte,btree,update,1,10000000,1240.78
2,eliza,mte,skiplist,scan,1,1000000,38584.18
1,eliza,aarch64,btree,scan,1,10000000,942.58
3,eliza,aarch64,linklist,update,1,25000,2039532.87
0,eliza,aarch64,skiplist,insert,1,1000000,4664.3
2,eliza,aarch64,ART,scan,1,100000,267299.14
