repetition,host,arch,system,name,nthreads,nb_ops,latency
4,ace,cheri,btree,insert,1,6000000,1940.61
0,ace,aarch64,queue,queue_bench,1,100000000,180.995
3,ace,aarch64,skiplist,YCSB-E,1,5000000,11797.114913186
0,ace,cheri,linklist,insert,1,5000000,14237.57
0,ace,aarch64,queue,queue_bench,4,100000000,432.821
3,ace,aarch64,ART,YCSB-C,1,6000000,1570.21
1,ace,aarch64,ART,insert,1,1000000,7458.71
0,ace,cheri,queue,queue_bench,1,100000000,1736.880
4,ace,cheri,linklist,YCSB-E,1,25000,3451312.4286348
4,ace,cheri,linklist,YCSB-A,1,10000,2677619.500455
2,ace,aarch64,linklist,scan,1,10000,1104593.34
3,ace,cheri,ART,insert,1,1000000,22392.85
4,ace,cheri,linklist,YCSB-B,1,10000,2030164.558644
3,ace,cheri,btree,YCSB-A,1,8000000,1557.53086687
3,ace,cheri,btree,YCSB-D,1,8000000,1261.29206515625
4,ace,cheri,linklist,update,1,12500,3353999.87
3,ace,cheri,CLHT,insert,1,1000000,25461.57
3,ace,cheri,skiplist,scan,1,1000000,60969.93
3,ace,cheri,btree,YCSB-C,1,8000000,1309.61
1,ace,cheri,linklist,YCSB-D,1,25000,6133527.485439999
4,ace,cheri,skiplist,YCSB-D,1,2000000,6741.492620399999
0,ace,aarch64,ART,read,1,6000000,1827.86
1,ace,aarch64,linklist,YCSB-D,1,25000,4765300.069636
4,ace,aarch64,linklist,YCSB-A,1,10000,1698729.5382740002
2,ace,aarch64,linklist,YCSB-C,1,25000,2726128.39
3,ace,aarch64,skiplist,read,1,3000000,4998.93
0,ace,cheri,btree,update,1,10000000,1981.37
4,ace,aarch64,btree,update,1,10000000,1488.01
4,ace,aarch64,btree,read,1,8000000,1299.11
0,ace,aarch64,linklist,YCSB-A,1,10000,1656963.984726
0,ace,cheri,CLHT,insert,4,1000000,154872.84
2,ace,aarch64,skiplist,scan,1,1000000,52913.46
0,ace,cheri,linklist,YCSB-E,1,25000,3452489.057168
3,ace,cheri,linklist,YCSB-B,1,10000,1959949.642281
1,ace,cheri,ART,scan,1,60000,376794.97
2,ace,aarch64,linklist,YCSB-A,1,10000,1703355.75522
3,ace,cheri,linklist,read,1,25000,3307852.87
1,ace,aarch64,CLHT,read,1,5000000,253.87
3,ace,aarch64,CLHT,insert,1,1000000,13932.15
0,ace,aarch64,ART,scan,1,60000,275202.5
4,ace,cheri,btree,YCSB-F,1,6000000,1250.717955594826
1,ace,aarch64,skiplist,read,1,3000000,5021.27
