database,variant,benchmark,workload,metric_name,metric_value,unit,repetition
ladybug,release-cheri,ldbc,q01,query_time,28.944333333333333,ms,0
ladybug,release-cheri,ldbc,q02,query_time,25.03,ms,0
ladybug,release-cheri,ldbc,SelectiveTwoHopJoin,query_time,16.775000000000002,ms,0
ladybug,release-cheri,ldbc,q31,query_time,2.558333333333333,ms,0
ladybug,release-cheri,ldbc,q30,query_time,473.045,ms,0
ladybug,release-cheri,ldbc,q29,query_time,173.27200000000002,ms,0
ladybug,release-cheri,ldbc,q36,query_time,29.655666666666665,ms,0
ladybug,release-cheri,ldbc,q35,query_time,1.952,ms,0
ladybug,release-cheri,ldbc,q13,query_time,306.9986666666666,ms,0
ladybug,release-cheri,ldbc,q12,query_time,46.148666666666664,ms,0
ladybug,release-cheri,ldbc,q11,query_time,51.629,ms,0
ladybug,release-cheri,ldbc,q10,query_time,52.334666666666664,ms,0
ladybug,release-cheri,ldbc,q09,query_time,217.62433333333334,ms,0
ladybug,release-cheri,ldbc,q08,query_time,217.99633333333335,ms,0
ladybug,release-cheri,ldbc,q07,query_time,156.70466666666667,ms,0
ladybug,release-cheri,ldbc,q38,query_time,113.29033333333332,ms,0
ladybug,release-cheri,ldbc,q39,query_time,0.9979999999999999,ms,0
ladybug,release-cheri,ldbc,q37,query_time,44.279666666666664,ms,0
ladybug,release-cheri,ldbc,q40,query_time,101.12866666666666,ms,0
ladybug,release-cheri,ldbc,recursive-join-path,query_time,27053.464666666667,ms,0
ladybug,release-cheri,ldbc,recursive-join-bidirection,query_time,92.51133333333333,ms,0
ladybug,release-cheri,ldbc,recursive-join-trail,query_time,5051.491333333333,ms,0
ladybug,release-cheri,ldbc,recursive-join-sparse,query_time,1.5553333333333335,ms,0
ladybug,release-cheri,ldbc,recursive-join-dense,query_time,4949.553333333333,ms,0
ladybug,release-cheri,ldbc,q24,query_time,187.65566666666666,ms,0
ladybug,release-cheri,ldbc,q28,query_time,3965.599,ms,0
ladybug,release-cheri,ldbc,q33,query_time,5.8146666666666675,ms,0
ladybug,release-cheri,ldbc,q32,query_time,0.8846666666666666,ms,0
ladybug,release-cheri,ldbc,q34,query_time,0.387,ms,0
ladybug,release-cheri,ldbc,zonemap-node-null,query_time,8.566666666666666,ms,0
ladybug,release-cheri,ldbc,zonemap-node-lhs-cast,query_time,8.622333333333334,ms,0
ladybug,release-cheri,ldbc,zonemap-node,query_time,10.069333333333333,ms,0
ladybug,release-cheri,ldbc,zonemap-rel,query_time,1327.026,ms,0
ladybug,release-cheri,ldbc,q18,query_time,454.491,ms,0
ladybug,release-cheri,ldbc,q17,query_time,65.122,ms,0
ladybug,release-cheri,ldbc,q16,query_time,73.226,ms,0
ladybug,release-cheri,ldbc,q15,query_time,17.68,ms,0
ladybug,release-cheri,ldbc,q14,query_time,17.59033333333333,ms,0
ladybug,release-cheri,ldbc,push-down-limit-into-distinct,query_time,1.2183333333333335,ms,0
ladybug,release-cheri,ldbc,multi-rel-lookup,query_time,2.415666666666667,ms,0
ladybug,release-cheri,ldbc,multi-rel-large-scan,query_time,661.139,ms,0
ladybug,release-cheri,ldbc,multi-rel-small-scan,query_time,72.045,ms,0
ladybug,release-cheri,ldbc,q25,query_time,19.851666666666667,ms,0
ladybug,release-cheri,ldbc,q26,query_time,100.80566666666668,ms,0
ladybug,release-cheri,ldbc,q27,query_time,319.51666666666665,ms,0
ladybug,release-cheri,ldbc,q03,query_time,509.8376666666666,ms,0
ladybug,release-cheri,ldbc,q06,query_time,324.32733333333334,ms,0
ladybug,release-cheri,ldbc,q05,query_time,747.8156666666667,ms,0
ladybug,release-cheri,ldbc,q04,query_time,515.5513333333333,ms,0
ladybug,release-cheri,ldbc,q23,query_time,16.081333333333333,ms,0
sqlite,release-dynamic,tpcc,tpcc,tps,677.2166666666667,txn/sec,0
sqlite,release-mte,tpcc,tpcc,tps,631.1666666666666,txn/sec,0
sqlite,release-static,tpcc,tpcc,tps,648.0666666666667,txn/sec,0
sqlite,release-cheri,tpcc,tpcc,tps,653.0166666666667,txn/sec,0
sqlite,release-dynamic,tpcc,tpcc,tps,697.95,txn/sec,1
sqlite,release-mte,tpcc,tpcc,tps,653.8,txn/sec,1
sqlite,release-static,tpcc,tpcc,tps,651.5333333333333,txn/sec,1
sqlite,release-cheri,tpcc,tpcc,tps,652.15,txn/sec,1
sqlite,release-dynamic,tpcc,tpcc,tps,706.7,txn/sec,2
sqlite,release-mte,tpcc,tpcc,tps,635.4166666666666,txn/sec,2
sqlite,release-static,tpcc,tpcc,tps,652.1333333333333,txn/sec,2
sqlite,release-cheri,tpcc,tpcc,tps,652.1333333333333,txn/sec,2
duckdb,release,tpch,q1,query_time,1.365,seconds,0
duckdb,release,tpch,q2,query_time,0.461,seconds,0
duckdb,release,tpch,q3,query_time,1.704,seconds,0
duckdb,release,tpch,q4,query_time,1.582,seconds,0
duckdb,release,tpch,q5,query_time,1.984,seconds,0
duckdb,release,tpch,q6,query_time,1.206,seconds,0
duckdb,release,tpch,q7,query_time,2.035,seconds,0
duckdb,release,tpch,q8,query_time,2.045,seconds,0
duckdb,release,tpch,q9,query_time,4.026,seconds,0
duckdb,release,tpch,q10,query_time,2.217,seconds,0
duckdb,release,tpch,q11,query_time,0.293,seconds,0
duckdb,release,tpch,q12,query_time,1.604,seconds,0
duckdb,release,tpch,q13,query_time,1.418,seconds,0
duckdb,release,tpch,q14,query_time,1.631,seconds,0
