len;stride;duration
16777216;16;30975951
16777216;16;30838403
16777216;16;31493765
16777216;32;66135431
16777216;32;64674623
16777216;32;64651560
16777216;32;65293487
16777216;32;66421369
16777216;32;64714598
16777216;32;65139137
16777216;32;65175967
16777216;32;64945072
16777216;32;64700662
16777216;64;64957436
16777216;64;64290370
16777216;64;64068624
16777216;64;64203236
16777216;64;64060819
16777216;64;63985968
16777216;64;64800169
16777216;64;64929373
16777216;64;64539199
16777216;64;65708648
16777216;128;79964672
16777216;128;111945133
16777216;128;113094584
16777216;128;112598861
16777216;128;80319258
16777216;128;118193174
16777216;128;116749989
16777216;128;113290252
16777216;128;113146140
16777216;128;113250187
16777216;256;51560949
16777216;256;51358868
16777216;256;47335020
16777216;256;47279145
16777216;256;47794665
16777216;256;47250041
16777216;256;46836052
16777216;256;52038396
16777216;256;48184969
16777216;256;47206498
16777216;512;97649063
16777216;512;97645917
16777216;512;97564905
16777216;512;97831737
16777216;512;97822890
16777216;512;97523077
16777216;512;97645677
16777216;512;97417929
16777216;512;97635418
16777216;512;97599780
33554432;1;6908333
33554432;1;7045131
33554432;1;7160508
33554432;1;7074155
33554432;1;6992862
33554432;1;6973917
33554432;1;6975259
33554432;1;6976051
33554432;1;6953028
33554432;1;6947527
33554432;2;10660662
33554432;2;10473750
33554432;2;10290024
33554432;2;10123801
33554432;2;10639441
33554432;2;10068708
33554432;2;10124363
33554432;2;10171722
33554432;2;10590118
33554432;2;10148898
33554432;4;20776227
33554432;4;19878548
33554432;4;20138577
33554432;4;20461445
33554432;4;19627056
33554432;4;19684473
33554432;4;19839144
33554432;4;20111126
33554432;4;19942559
33554432;4;19865373
33554432;8;39055298
33554432;8;40633195
33554432;8;38781312
33554432;8;38531422
33554432;8;38443447
33554432;8;39342387
33554432;8;38962373
33554432;8;38444678
33554432;8;39208084
33554432;8;38253839
33554432;16;74285570
33554432;16;75438418
33554432;16;75754342
33554432;16;75386301
33554432;16;77276776
33554432;16;75181716
33554432;16;75613217
33554432;16;76040080
33554432;16;75763469
33554432;16;76159354
33554432;32;166987479
33554432;32;167017264
33554432;32;168095162
33554432;32;164325812
33554432;32;166170212
33554432;32;169282966
33554432;32;165863314
33554432;32;164384513
33554432;32;164496102
33554432;32;164497876
33554432;64;162174416
33554432;64;162389750
33554432;64;162849285
33554432;64;164195918
33554432;64;163379523
33554432;64;164027691
33554432;64;163451828
33554432;64;164158378
33554432;64;165025688
33554432;64;164184115
33554432;128;242299158
33554432;128;242692619
33554432;128;241665396
33554432;128;241795812
33554432;128;241715661
33554432;128;246216457
33554432;128;242950964
33554432;128;243668724
33554432;128;241773760
33554432;128;241828333
33554432;256;235362402
33554432;256;234452410
33554432;256;246212158
33554432;256;235453904
33554432;256;234375275
33554432;256;230252580
33554432;256;231081710
33554432;256;232450985
33554432;256;233687652
33554432;256;232196537
33554432;512;216560237
33554432;512;214854529
33554432;512;215303904
33554432;512;214551258
33554432;512;213963413
33554432;512;214029838
33554432;512;214132712
33554432;512;214423028
33554432;512;214575394
33554432;512;214574413
67108864;1;13951972
67108864;1;13963684
67108864;1;13951591
67108864;1;14062900
67108864;1;14032843
67108864;1;14037993
67108864;1;14059283
67108864;1;14138072
67108864;1;13932716
67108864;1;13958384
67108864;2;22169798
67108864;2;22031778
67108864;2;22048429
67108864;2;21914487
67108864;2;22019906
67108864;2;21902866
67108864;2;22267963
67108864;2;22405261
67108864;2;22259637
67108864;2;22166211
